Administración;Departamento;Convocatoria;Bases reguladoras;Aplicación presupuestaria;Fecha de concesión;Beneficiario;Importe;Instrumento;Ayuda equivalente
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110567204;08/01/2024;B48492391 HOTEL ARRIAGA S.L.;88;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;88
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568238;08/01/2024;B48492391 HOTEL ARRIAGA S.L.;158;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;158
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568944;08/01/2024;B48492391 HOTEL ARRIAGA S.L.;352;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;352
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568950;10/01/2024;B48492391 HOTEL ARRIAGA S.L.;350;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;350
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569031;11/01/2024;B95688248 PIL PIL HOSTEL SL;2015;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2015
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569038;11/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569044;11/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS FAMILIAS DESAHUCIADAS CON MENORES A CARGO 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569049;11/01/2024;B95688248 PIL PIL HOSTEL SL;1170;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1170
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568957;12/01/2024;B95688248 PIL PIL HOSTEL SL;510;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;510
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568964;12/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568971;12/01/2024;B95688248 PIL PIL HOSTEL SL;2635;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2635
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568977;12/01/2024;B95688248 PIL PIL HOSTEL SL;3410;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;3410
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568984;12/01/2024;B95688248 PIL PIL HOSTEL SL;2790;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2790
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568989;12/01/2024;B95688248 PIL PIL HOSTEL SL;2790;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;2790
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568994;12/01/2024;B95688248 PIL PIL HOSTEL SL;1754.99;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1754.99
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110568997;12/01/2024;B95688248 PIL PIL HOSTEL SL;1754.99;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1754.99
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569002;12/01/2024;B95688248 PIL PIL HOSTEL SL;1104.99;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;1104.99
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569004;12/01/2024;B95688248 PIL PIL HOSTEL SL;80;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;80
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569009;12/01/2024;B95688248 PIL PIL HOSTEL SL;75;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;75
BILBAO;AYUNTAMIENTO DE BILBAO;AYUDAS ECONOMICAS REALOJOS EN SITUACION DE URGENCIA, 2023.;https://www.bizkaia.eus/lehendakaritza/Bao_bob/2022/12/30/II-5642_cas.pdf?hash=7549318abc9c8090ae163af37ffeeab1;SB110569012;12/01/2024;B48492391 HOTEL ARRIAGA S.L.;150;SUBVENCIÓN y ENTREGA DINERARIA SIN CONTRAPRESTACIÓN;150
