Personal ocupado de la C.A. de Euskadi por titularidad, función del personal , territorio histórico, sexo y periodo

"titularidad,""función del personal "",""territorio histórico"",""sexo"",""2024"""
"Total,""Personal sanitario"",""C.A. de Euskadi"",""Total"",9393"
"Total,""Personal sanitario"",""C.A. de Euskadi"",""Hombres"",1132"
"Total,""Personal sanitario"",""C.A. de Euskadi"",""Mujeres"",8261"
"Total,""Personal sanitario"",""Araba/Álava"",""Total"",1951"
"Total,""Personal sanitario"",""Araba/Álava"",""Hombres"",251"
"Total,""Personal sanitario"",""Araba/Álava"",""Mujeres"",1700"
"Total,""Personal sanitario"",""Bizkaia"",""Total"",4902"
"Total,""Personal sanitario"",""Bizkaia"",""Hombres"",587"
"Total,""Personal sanitario"",""Bizkaia"",""Mujeres"",4315"
"Total,""Personal sanitario"",""Gipuzkoa"",""Total"",2540"
"Total,""Personal sanitario"",""Gipuzkoa"",""Hombres"",294"
"Total,""Personal sanitario"",""Gipuzkoa"",""Mujeres"",2246"
"Público,""Personal sanitario"",""C.A. de Euskadi"",""Total"",2098"
"Público,""Personal sanitario"",""C.A. de Euskadi"",""Hombres"",194"
"Público,""Personal sanitario"",""C.A. de Euskadi"",""Mujeres"",1904"
"Público,""Personal sanitario"",""Araba/Álava"",""Total"",919"
"Público,""Personal sanitario"",""Araba/Álava"",""Hombres"",97"
"Público,""Personal sanitario"",""Araba/Álava"",""Mujeres"",822"
"Público,""Personal sanitario"",""Bizkaia"",""Total"",733"
"Público,""Personal sanitario"",""Bizkaia"",""Hombres"",62"
"Público,""Personal sanitario"",""Bizkaia"",""Mujeres"",671"
"Público,""Personal sanitario"",""Gipuzkoa"",""Total"",446"
"Público,""Personal sanitario"",""Gipuzkoa"",""Hombres"",35"
"Público,""Personal sanitario"",""Gipuzkoa"",""Mujeres"",411"
"Privado,""Personal sanitario"",""C.A. de Euskadi"",""Total"",7295"
"Privado,""Personal sanitario"",""C.A. de Euskadi"",""Hombres"",938"
"Privado,""Personal sanitario"",""C.A. de Euskadi"",""Mujeres"",6357"
"Privado,""Personal sanitario"",""Araba/Álava"",""Total"",1032"
"Privado,""Personal sanitario"",""Araba/Álava"",""Hombres"",154"
"Privado,""Personal sanitario"",""Araba/Álava"",""Mujeres"",878"
"Privado,""Personal sanitario"",""Bizkaia"",""Total"",4169"
"Privado,""Personal sanitario"",""Bizkaia"",""Hombres"",525"
"Privado,""Personal sanitario"",""Bizkaia"",""Mujeres"",3644"
"Privado,""Personal sanitario"",""Gipuzkoa"",""Total"",2094"
"Privado,""Personal sanitario"",""Gipuzkoa"",""Hombres"",259"
"Privado,""Personal sanitario"",""Gipuzkoa"",""Mujeres"",1835"
