"Centros de la C.A. de Euskadi por tipo de población, índice de ocupación, territorio histórico, titularidad y periodo"

"tipo de población","índice de ocupación","territorio histórico","titularidad","2021"
"Personas mayores","Total","C.A. de Euskadi","Total",432
"Personas mayores","Total","C.A. de Euskadi","Público",145
"Personas mayores","Total","C.A. de Euskadi","Privado",287
"Personas mayores","Total","Araba/Álava","Total",94
"Personas mayores","Total","Araba/Álava","Público",26
"Personas mayores","Total","Araba/Álava","Privado",68
"Personas mayores","Total","Bizkaia","Total",221
"Personas mayores","Total","Bizkaia","Público",44
"Personas mayores","Total","Bizkaia","Privado",177
"Personas mayores","Total","Gipuzkoa","Total",117
"Personas mayores","Total","Gipuzkoa","Público",75
"Personas mayores","Total","Gipuzkoa","Privado",42
"Personas mayores","<50%","C.A. de Euskadi","Total",26
"Personas mayores","<50%","C.A. de Euskadi","Público",9
"Personas mayores","<50%","C.A. de Euskadi","Privado",17
"Personas mayores","<50%","Araba/Álava","Total",5
"Personas mayores","<50%","Araba/Álava","Público",1
"Personas mayores","<50%","Araba/Álava","Privado",4
"Personas mayores","<50%","Bizkaia","Total",14
"Personas mayores","<50%","Bizkaia","Público",1
"Personas mayores","<50%","Bizkaia","Privado",13
"Personas mayores","<50%","Gipuzkoa","Total",7
"Personas mayores","<50%","Gipuzkoa","Público",7
"Personas mayores","<50%","Gipuzkoa","Privado",:
"Personas mayores","50%-70%","C.A. de Euskadi","Total",48
"Personas mayores","50%-70%","C.A. de Euskadi","Público",19
"Personas mayores","50%-70%","C.A. de Euskadi","Privado",29
"Personas mayores","50%-70%","Araba/Álava","Total",9
"Personas mayores","50%-70%","Araba/Álava","Público",4
"Personas mayores","50%-70%","Araba/Álava","Privado",5
"Personas mayores","50%-70%","Bizkaia","Total",22
"Personas mayores","50%-70%","Bizkaia","Público",3
"Personas mayores","50%-70%","Bizkaia","Privado",19
"Personas mayores","50%-70%","Gipuzkoa","Total",17
"Personas mayores","50%-70%","Gipuzkoa","Público",12
"Personas mayores","50%-70%","Gipuzkoa","Privado",5
"Personas mayores","70%-90%","C.A. de Euskadi","Total",148
"Personas mayores","70%-90%","C.A. de Euskadi","Público",51
"Personas mayores","70%-90%","C.A. de Euskadi","Privado",97
"Personas mayores","70%-90%","Araba/Álava","Total",34
"Personas mayores","70%-90%","Araba/Álava","Público",10
"Personas mayores","70%-90%","Araba/Álava","Privado",24
"Personas mayores","70%-90%","Bizkaia","Total",86
"Personas mayores","70%-90%","Bizkaia","Público",24
"Personas mayores","70%-90%","Bizkaia","Privado",62
"Personas mayores","70%-90%","Gipuzkoa","Total",28
"Personas mayores","70%-90%","Gipuzkoa","Público",17
"Personas mayores","70%-90%","Gipuzkoa","Privado",11
"Personas mayores","90%-99%","C.A. de Euskadi","Total",147
"Personas mayores","90%-99%","C.A. de Euskadi","Público",40
"Personas mayores","90%-99%","C.A. de Euskadi","Privado",107
"Personas mayores","90%-99%","Araba/Álava","Total",32
"Personas mayores","90%-99%","Araba/Álava","Público",10
"Personas mayores","90%-99%","Araba/Álava","Privado",22
"Personas mayores","90%-99%","Bizkaia","Total",69
"Personas mayores","90%-99%","Bizkaia","Público",9
"Personas mayores","90%-99%","Bizkaia","Privado",60
"Personas mayores","90%-99%","Gipuzkoa","Total",46
"Personas mayores","90%-99%","Gipuzkoa","Público",21
"Personas mayores","90%-99%","Gipuzkoa","Privado",25
"Personas mayores","100%","C.A. de Euskadi","Total",63
"Personas mayores","100%","C.A. de Euskadi","Público",26
"Personas mayores","100%","C.A. de Euskadi","Privado",37
"Personas mayores","100%","Araba/Álava","Total",14
"Personas mayores","100%","Araba/Álava","Público",1
"Personas mayores","100%","Araba/Álava","Privado",13
"Personas mayores","100%","Bizkaia","Total",30
"Personas mayores","100%","Bizkaia","Público",7
"Personas mayores","100%","Bizkaia","Privado",23
"Personas mayores","100%","Gipuzkoa","Total",19
"Personas mayores","100%","Gipuzkoa","Público",18
"Personas mayores","100%","Gipuzkoa","Privado",1
