"Num. registro";"Ejercicio";"A) ACTIVO NO CORRIENTE";"I. Inmovilizado intangible";"II. Bienes del Patrimonio Histórico";"III. Inmovilizado material";"IV. Inversiones inmobiliarias";"V. Inversiones en entidades del grupo y asociadas a largo plazo";"VI. Inversiones financieras a largo plazo";"VII. Activos por impuesto diferido";"B) ACTIVO CORRIENTE";"I. Activos no corrientes mantenidos para la venta";"II. Existencias";"III. Usuarios y otros deudores de la actividad propia";"IV. Deudores comerciales y otras cuentas a cobrar";"V. Inversiones en entidades del grupo y asociadas a corto plazo";"VI. Inversiones financieras a corto plazo";"VII. Periodificaciones a corto plazo";"VIII. Efectivo y otros activos líquidos equivalentes";"TOTAL ACTIVO (A+B)";"A) PATRIMONIO NETO";"A-1) Fondos propios";"I. Dotación Fundacional / Fondo social";"II. Reservas";"III. Excedentes de ejercicios anteriores (*)";"IV. Excedente del ejercicio (*)";"A-2) Ajustes por cambios de valor (*)";"A-3) Subvenciones, donaciones y legados recibidos";"B) PASIVO NO CORRIENTE";"I. Provisiones a largo plazo";"II. Deudas a largo plazo";"III. Deudas con entidades del grupo y asociadas a largo plazo";"IV. Pasivos por impuesto diferido";"V. Periodificaciones a largo plazo";"C) PASIVO CORRIENTE";"I. Pasivos vinculados con activos no corrientes mantenidos para la venta";"II. Provisiones a corto plazo";"III. Deudas a corto plazo";"IV. Deudas con entidades del grupo y asociadas a corto plazo";"V. Beneficiarios-Acreedores";"VI. Acreedores comerciales y otras cuentas a pagar";"TOTAL PATRIMONIO NETO Y PASIVO (A+B+C)"
"AS/B/04853/1994";"2024";"0";"0";"0";"0";"0";"0";"0";"0";"292.093,82 €";"0";"0";"0";"0";"0";"0";"0";"292.093,82 €";"292.093,82 €";"292.093,82 €";"292.093,82 €";"292.093,82 €";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"292.093,82 €"
"AS/B/00504/1987";"2024";"30.644,45 €";"28.213,46 €";"0";"1.108,77 €";"0";"0";"1.322,22 €";"0";"54.835,27 €";"0";"0";"0";"0";"0";"0";"0";"14.112,89 €";"85.479,72 €";"79.963,63 €";"51.750,17 €";"0";"20.083,05 €";"26.133,11 €";"5.534,01 €";"0";"28.213,46 €";"0";"0";"0";"0";"0";"0";"5516.09";"0";"0";"0";"0";"0";"5.516,09 €";"85.479,72 €"
"AS.R.P.B.00163";"2024";"1.162.768,00 €";"2.545,00 €";"0";"49.800,00 €";"0";"0";"1.110.423,00 €";"0";"68.806,00 €";"0";"0";"0";"0";"0";"0";"0";"68.347,00 €";"1.231.574,00 €";"1.171.063,00 €";"1.171.063,00 €";"1.554.823,00 €";"0";"-142.061,00 €";"-241.699,00 €";"0";"0";"0";"0";"0";"0";"0";"0";"60511";"0";"0";"22255";"0";"0";"38.256,00 €";"1.231.574,00 €"
"AS/A/03068/1992";"2024";"-10,91 €";"0";"0";"0";"0";"0";"-10,91 €";"0";"79.313,35 €";"0";"0";"0";"26.654,40 €";"0";"0";"0";"52.658,95 €";"79.302,44 €";"41.229,77 €";"41.229,77 €";"0";"0";"52.676,10 €";"-11.446,33 €";"0";"0";"0";"0";"0";"0";"0";"0";"38072.67";"0";"0";"0";"0";"0";"38.072,67 €";"79.302,44 €"
"AS.R.P.B.00037";"2024";"499.572,00 €";"0";"0";"376.302,00 €";"0";"0";"123.270,00 €";"0";"6.162.695,00 €";"0";"0";"0";"404.281,00 €";"0";"3.581.113,00 €";"2.051.284,00 €";"687.115,00 €";"6.662.267,00 €";"1.828.676,00 €";"587.426,00 €";"30.406,00 €";"663.094,00 €";"0";"-106.074,00 €";"0";"1.241.250,00 €";"936.423,00 €";"553.042,00 €";"383.381,00 €";"0";"0";"0";"3813055";"0";"0";"124451";"0";"0";"1.637.320,00 €";"6.578.154,00 €"
"AS/B/01226/1988";"2024";"1.600,00 €";"0";"0";"0";"0";"1.600,00 €";"0";"0";"947.947,02 €";"0";"0";"0";"5.530,30 €";"0";"550.000,00 €";"0";"392.416,72 €";"949.547,02 €";"933.289,20 €";"-9.888,97 €";"0";"43.003,80 €";"-50.957,93 €";"-1.934,84 €";"0";"943.178,17 €";"0";"0";"0";"0";"0";"0";"16257.82";"0";"0";"0";"0";"0";"16.257,82 €";"949.547,02 €"
"AS/G/00662/1987";"2024";"502.568,62 €";"0";"0";"502.568,62 €";"0";"0";"0";"0";"362.503,27 €";"0";"0";"0";"0";"0";"0";"0";"180.330,07 €";"865.071,89 €";"553.967,17 €";"518.494,24 €";"893,52 €";"0";"504.860,29 €";"12.740,43 €";"0";"35.472,93 €";"0";"0";"0";"0";"0";"0";"311104.72";"0";"0";"50111.58";"0";"0";"260.993,14 €";"865.071,89 €"
"AS/B/12593/2006";"2024";"9.807,03 €";"0";"0";"8.607,03 €";"0";"0";"1.200,00 €";"0";"94.344,02 €";"0";"0";"0";"0";"0";"65.000,00 €";"0";"29.344,02 €";"104.151,05 €";"99.374,68 €";"99.374,68 €";"1.000,00 €";"0";"80.720,63 €";"17.654,05 €";"0";"0";"0";"0";"0";"0";"0";"0";"4776.37";"0";"0";"0";"0";"0";"4.776,37 €";"104.151,05 €"
"AS/G/11980/2005";"2024";"2.159,77 €";"0";"0";"2.159,77 €";"0";"0";"0";"0";"756.387,42 €";"0";"0";"0";"176.637,20 €";"0";"0";"0";"579.750,22 €";"758.547,19 €";"706.463,83 €";"502.000,19 €";"0";"0";"449.891,69 €";"52.108,50 €";"0";"204.463,64 €";"0";"0";"0";"0";"0";"0";"52083.36";"0";"0";"0";"0";"0";"52.083,36 €";"758.547,19 €"
"AS/B/20219/2016";"2024";"691,42 €";"0";"0";"691,42 €";"0";"0";"0";"0";"62.428,01 €";"0";"0";"0";"14.447,32 €";"0";"0";"0";"47.980,69 €";"63.119,43 €";"60.848,68 €";"54.848,68 €";"0";"0";"55.167,89 €";"-319,21 €";"0";"6.000,00 €";"0";"0";"0";"0";"0";"0";"2270.75";"0";"0";"0";"0";"0";"2.270,75 €";"63.119,43 €"
